                           data_label                            |                   name                    |  release   |            lastmod            |             data_md5             
 GN-CAL20150505-20-029                                           | N20150505S0345.fits                       | 2015-05-05 | 2017-06-20 21:56:28.989459+00 | 3b770135db28fb1d4ba9f3f8ab461333
 GS-CAL20150505-4-033                                            | S20150505S0344.fits                       | 2015-05-05 | 2017-06-20 21:56:29.110458+00 | 0e1cd1a2bda6ad804fe35ae39cc1d925
 GN-CAL20150505-20-028                                           | N20150505S0344.fits                       | 2015-05-05 | 2017-06-20 21:56:29.452455+00 | 4034a56fee85d85100b70d32ba257619
 GS-CAL20150505-4-032                                            | S20150505S0343.fits                       | 2015-05-05 | 2017-06-20 21:56:29.510454+00 | a37dae91ac9742547c7dc31d2e2f7254
 GN-CAL20150505-20-027                                           | N20150505S0343.fits                       | 2015-05-05 | 2017-06-20 21:56:29.853451+00 | 8c04e95bb5d61e51366858e429b10489
 GS-CAL20150505-4-031-G-BIAS                                     | gS20150505S0342_bias.fits                 | 2015-05-05 | 2017-06-20 21:56:30.070449+00 | 992e176a737f6ee1601414de7a788e01
 GS-CAL20150505-4-031                                            | S20150505S0342.fits                       | 2015-05-05 | 2017-06-20 21:56:30.317447+00 | 2acd1ed34b84112fe46af9ee54a68ec0
 GN-CAL20150505-20-026                                           | N20150505S0342.fits                       | 2015-05-05 | 2017-06-20 21:56:30.451445+00 | 58bc5411640eb09276b7afd8b08fa80c
 GS-CAL20150505-4-030                                            | S20150505S0341.fits                       | 2015-05-05 | 2017-06-20 21:56:30.601444+00 | db997c29102218d42b68b87e491ce9f1
 GN-CAL20150505-20-025                                           | N20150505S0341.fits                       | 2015-05-05 | 2017-06-20 21:56:30.772442+00 | 613b2b2074c30886cf6eaf6f90801266
 GS-CAL20150505-4-029                                            | S20150505S0340.fits                       | 2015-05-05 | 2017-06-20 21:56:31.317437+00 | 27c178efa703c45ffd91e003b32f5113
 GN-CAL20150505-20-024                                           | N20150505S0340.fits                       | 2015-05-05 | 2017-06-20 21:56:31.456436+00 | e9a7ea92e11625c9fa4429bcf4be8236
 GS-CAL20150505-4-028                                            | S20150505S0339.fits                       | 2015-05-05 | 2017-06-20 21:56:31.601435+00 | 40f4b7d3836ac7ddf106f7c20ef488d8
 GN-CAL20150505-20-023                                           | N20150505S0339.fits                       | 2015-05-05 | 2017-06-20 21:56:31.768433+00 | a75c3d1840d6ff5ede885bbe8d406c2f
